token_context,word_context,seg_context,sent_cotext,label
"['Todealwiththeseissuesweproposeamulticomponentarchitecturewhereindividualcomponentsspecializeinidentifyingoneparticulartypeofunknownword.', 'Forexample,themisspellingidentifierwillspecializeinidentifyingmisspellings,theabbreviationcomponentwillspecializeinidentifyingabbreviations,etc.', 'Eachcomponentwillreturnaconfidencemeasureofthereliabilityofitsprediction,c.f. #TAUTHOR_TAG.', 'Theresultsfromeachcomponentareevaluatedtodeterminethefinalcategoryoftheword.']","['Todealwiththeseissuesweproposeamulticomponentarchitecturewhereindividualcomponentsspecializeinidentifyingoneparticulartypeofunknownword.', 'Forexample,themisspellingidentifierwillspecializeinidentifyingmisspellings,theabbreviationcomponentwillspecializeinidentifyingabbreviations,etc.', 'Eachcomponentwillreturnaconfidencemeasureofthereliabilityofitsprediction,c.f. #TAUTHOR_TAG.', 'Theresultsfromeachcomponentareevaluatedtodeterminethefinalcategoryoftheword.']","['Todealwiththeseissuesweproposeamulticomponentarchitecturewhereindividualcomponentsspecializeinidentifyingoneparticulartypeofunknownword.', 'Forexample,themisspellingidentifierwillspecializeinidentifyingmisspellings,theabbreviationcomponentwillspecializeinidentifyingabbreviations,etc.', 'Eachcomponentwillreturnaconfidencemeasureofthereliabilityofitsprediction,c.f. #TAUTHOR_TAG.', 'Theresultsfromeachcomponentareevaluatedtodeterminethefinalcategoryoftheword.']","['Todealwiththeseissuesweproposeamulticomponentarchitecturewhereindividualcomponentsspecializeinidentifyingoneparticulartypeofunknownword.', 'Forexample,themisspellingidentifierwillspecializeinidentifyingmisspellings,theabbreviationcomponentwillspecializeinidentifyingabbreviations,etc.', 'Eachcomponentwillreturnaconfidencemeasureofthereliabilityofitsprediction,c.f. #TAUTHOR_TAG.', 'Theresultsfromeachcomponentareevaluatedtodeterminethefinalcategoryoftheword.']",4
"['Thefirstfeaturerepresentsthepartofspeechoftheword.', 'Weuseanin-housestatisticaltagger(basedon #TAUTHOR_TAG)totagthetextinwhichtheunknownwordoccurs.', 'ThetagsetusedisasimplifiedversionofthetagsusedinthemachinereadableversionoftheOxfordAdvancedLearnersDictionary(OALD).', 'Thetagsetcontainsjustonetagtonouns.']","['Thefirstfeaturerepresentsthepartofspeechoftheword.', 'Weuseanin-housestatisticaltagger(basedon #TAUTHOR_TAG)totagthetextinwhichtheunknownwordoccurs.', 'ThetagsetusedisasimplifiedversionofthetagsusedinthemachinereadableversionoftheOxfordAdvancedLearnersDictionary(OALD).', 'Thetagsetcontainsjustonetagtonouns.']","['Thefirstfeaturerepresentsthepartofspeechoftheword.', 'Weuseanin-housestatisticaltagger(basedon #TAUTHOR_TAG)totagthetextinwhichtheunknownwordoccurs.', 'ThetagsetusedisasimplifiedversionofthetagsusedinthemachinereadableversionoftheOxfordAdvancedLearnersDictionary(OALD).', 'Thetagsetcontainsjustonetagtonouns.']","['Thefirstfeaturerepresentsthepartofspeechoftheword.', 'Weuseanin-housestatisticaltagger(basedon #TAUTHOR_TAG)totagthetextinwhichtheunknownwordoccurs.', 'ThetagsetusedisasimplifiedversionofthetagsusedinthemachinereadableversionoftheOxfordAdvancedLearnersDictionary(OALD).', 'Thetagsetcontainsjustonetagtoidentifynouns.']",5
"['ResearchthatismoresimilaringoaltothatoutlinedinthispaperisVosse #TAUTHOR_TAG.', 'Vosseusesasimplealgorithmtoidentifythreeclassesofunknownwords:misspellings,neologisms,andnames.', 'Capitalizationishissolemeansofidentifyingnames.', 'closed', 'Hence,hissystemwouldbeineffectiveontheclosedcaptiondomainwithwhichweareworking.', '', '']","['ResearchthatismoresimilaringoaltothatoutlinedinthispaperisVosse #TAUTHOR_TAG.', 'Vosseusesasimplealgorithmtoidentifythreeclassesofunknownwords:misspellings,neologisms,andnames.', 'Capitalizationishissolemeansofidentifyingnames.', 'closed', 'Hence,hissystemwouldbeineffectiveontheclosedcaptiondomainwithwhichweareworking.', '', '']","['ResearchthatismoresimilaringoaltothatoutlinedinthispaperisVosse #TAUTHOR_TAG.', 'Vosseusesasimplealgorithmtoidentifythreeclassesofunknownwords:misspellings,neologisms,andnames.', 'Capitalizationishissolemeansofidentifyingnames.', '', 'Hence,hissystemwouldbeineffectiveontheclosedcaptiondomainwithwhichweareworking.', '', '']","['ResearchthatismoresimilaringoaltothatoutlinedinthispaperisVosse #TAUTHOR_TAG.', 'Vosseusesasimplealgorithmtoidentifythreeclassesofunknownwords:misspellings,neologisms,andnames.', 'Capitalizationishissolemeansofidentifyingnames.', '', 'Hence,hissystemwouldbeineffectiveontheclosedcaptiondomainwithwhichweareworking.', '', '']",1
"['Corpusfrequency: #TAUTHOR_TAGdifferentiatesbetweenmisspellingsandneologisms(newwords)intermsoftheirfrequency.', 'Hisalgorithmclassifiesunknownwordsthatappearinfrequentlyasmisspellings,andthosethatappearmorefrequentlyasneologisms.', 'Ourcorpusfrequencyvariablespecifiesthefrequencyofeachunknownwordina2.6millionwordcorpusofbusinessnewsclosedcaptions.']","['Corpusfrequency: #TAUTHOR_TAGdifferentiatesbetweenmisspellingsandneologisms(newwords)intermsoftheirfrequency.', 'Hisalgorithmclassifiesunknownwordsthatappearinfrequentlyasmisspellings,andthosethatappearmorefrequentlyasneologisms.', 'Ourcorpusfrequencyvariablespecifiesthefrequencyofeachunknownwordina2.6millionwordcorpusofbusinessnewsclosedcaptions.']","['Corpusfrequency: #TAUTHOR_TAGdifferentiatesbetweenmisspellingsandneologisms(newwords)intermsoftheirfrequency.', 'Hisalgorithmclassifiesunknownwordsthatappearinfrequentlyasmisspellings,andthosethatappearmorefrequentlyasneologisms.', 'Ourcorpusfrequencyvariablespecifiesthefrequencyofeachunknownwordina2.6millionwordcorpusofbusinessnewsclosedcaptions.']","['Corpusfrequency: #TAUTHOR_TAGdifferentiatesbetweenmisspellingsandneologisms(newwords)intermsoftheirfrequency.', 'Hisalgorithmclassifiesunknownwordsthatappearinfrequentlyasmisspellings,andthosethatappearmorefrequentlyasneologisms.', 'Ourcorpusfrequencyvariablespecifiesthefrequencyofeachunknownwordina2.6millionwordcorpusofbusinessnewsclosedcaptions.']",5
"['', 'Ourworkbuildsonearlierresearchonlearningtoidentifydialoguesinwhichtheuserexperiencedpoorspeechrecognizerperformance #TAUTHOR_TAG.', 'thatworkwasbasedonamuchsmallersetofexperimentaldialogueswherethenotionofagoodorbaddialoguewasautomaticallyapproximatedratherthanbeinglabelledbyhumans.', '']","['', 'Ourworkbuildsonearlierresearchonlearningtoidentifydialoguesinwhichtheuserexperiencedpoorspeechrecognizerperformance #TAUTHOR_TAG.', 'thatworkwasbasedonamuchsmallersetofexperimentaldialogueswherethenotionofagoodorbaddialoguewasautomaticallyapproximatedratherthanbeinglabelledbyhumans.', '']","['', 'Ourworkbuildsonearlierresearchonlearningtoidentifydialoguesinwhichtheuserexperiencedpoorspeechrecognizerperformance #TAUTHOR_TAG.', 'thatworkwasbasedonamuchsmallersetofexperimentaldialogueswherethenotionofagoodorbaddialoguewasautomaticallyapproximatedratherthanbeinglabelledbyhumans.', '']","['', 'Ourworkbuildsonearlierresearchonlearningtoidentifydialoguesinwhichtheuserexperiencedpoorspeechrecognizerperformance #TAUTHOR_TAG.', 'However,thatworkwasbasedonamuchsmallersetofexperimentaldialogueswherethenotionofagoodorbaddialoguewasautomaticallyapproximatedratherthanbeinglabelledbyhumans.', '']",2
"['TheDMfeaturesalsoincluderunningtalliesforthenumberofreprompts(num-reprompts),numberofconfirmationprompts(numsub),thathadbeenplayeduptoeach,wellasrunningpercentagespromirmsd', 'Theuseofrunningtalliesandpercentagesisbasedontheassumptionthatthesefeaturesarelikelytoproducegeneralizedpredictors #TAUTHOR_TAG.']","['TheDMfeaturesalsoincluderunningtalliesforthenumberofreprompts(num-reprompts),numberofconfirmationpromptsthathadbeenplayeduptoeachwellasrunningpercentages', 'Theuseofrunningtalliesandpercentagesisbasedontheassumptionthatthesefeaturesarelikelytoproducegeneralizedpredictors #TAUTHOR_TAG.']","['TheDMfeaturesalsoincluderunningtalliesforthenumberofreprompts(num-reprompts),numberofconfirmationprompts(numsub),thathadbeenplayeduptoeachpointwellasrunningpercentagesprom', 'Theuseofrunningtalliesandpercentagesisbasedontheassumptionthatthesefeaturesarelikelytoproducegeneralizedpredictors #TAUTHOR_TAG.']","['TheDMfeaturesalsoincluderunningtalliesforthenumberofreprompts(num-reprompts),numberofconfirmationprompts(num.confirms),andnumberofsubdialogueprompts(num-subdials),thathadbeenplayeduptoeachpointinthediMogue,aswellasrunningpercentages(percent-reprompts,percentconfirms,percent-subdials).', 'Theuseofrunningtalliesandpercentagesisbasedontheassumptionthatthesefeaturesarelikelytoproducegeneralizedpredictors #TAUTHOR_TAG.']",4
"['', 'Weusethesamesetofbinaryfeaturesasinpreviousworkonthisdataset #TAUTHOR_TAG.', '', '', '', '', '']","['', 'Weusethesamesetofbinaryfeaturesasinpreviousworkonthisdataset #TAUTHOR_TAG.', '', '', '', '', '']","['', 'Weusethesamesetofbinaryfeaturesasinpreviousworkonthisdataset #TAUTHOR_TAG.', '', '', '', '', '']","['', 'Weusethesamesetofbinaryfeaturesasinpreviousworkonthisdataset #TAUTHOR_TAG.', '', '', '', '', '']",5
"['Thesentence.', ""Infutureworkweplantoexperimentwithricherrepresentations,e.g.includinglong-rangen-grams #AUTHOR_TAG,classn-grams #TAUTHOR_TAG,grammaticalfeatures #AUTHOR_TAG,etc'.""]","['Thesentence', ""Infutureworkweplantoexperimentwithricherrepresentations,e.g.includinglong-rangen-grams #AUTHOR_TAG,classn-grams #TAUTHOR_TAG,grammaticalfeatures #AUTHOR_TAG,etc'.""]","['Thesentencerepresentation.', ""Infutureworkweplantoexperimentwithricherrepresentations,e.g.includinglong-rangen-grams #AUTHOR_TAG,classn-grams #TAUTHOR_TAG,grammaticalfeatures #AUTHOR_TAG,etc'.""]","['', ""Infutureworkweplantoexperimentwithricherrepresentations,e.g.includinglong-rangen-grams #AUTHOR_TAG,classn-grams #TAUTHOR_TAG,grammaticalfeatures #AUTHOR_TAG,etc'.""]",3
"['', '', '', '', 'Unfortunately,asshownin #TAUTHOR_TAG,withtherepresetationofsentencesthatweuse,linearclassifierscannotdiscriminaterealsentencesfromsentencessampledfromatrigram,whichisthemodelweuseasabaseline,sohereweresorttoanon-linearlarge-marginclassifier(seesection3fordetails).', 'large-marginclassifiersconsistentlyout-performotherlearningalgorithmsinmanyNLPtaskstheirnon-linearvariationsalsonotoriouslyslowwhenitcomestocomputingtheirdecision', '', '', '']","['', '', '', '', 'Unfortunately,asshownin #TAUTHOR_TAG,withtherepresetationofsentencesthatweuse,linearclassifierscannotdiscriminaterealsentencesfromsentencessampledfromatrigram,whichisthemodelweuseasabaseline,sohereweresorttoanon-linearlarge-marginclassifier(seesection3fordetails).', 'large-marginclassifiersconsistentlyout-performotherlearningalgorithmsinmanyNLPtasks,theirnon-linearvariationsalsonotoriouslyslowwhenitcomestocomputingtheirdecision', '', '', '']","['', '', '', '', 'Unfortunately,asshownin #TAUTHOR_TAG,withtherepresetationofsentencesthatweuse,linearclassifierscannotdiscriminaterealsentencesfromsentencessampledfromatrigram,whichisthemodelweuseasabaseline,sohereweresorttoanon-linearlarge-marginclassifier(seesection3fordetails).', 'large-marginclassifiersconsistentlyout-performotherlearningalgorithmsinmanyNLPtaskstheirnon-linearvariationsarealsonotoriouslyslowwhenitcomestocomputingtheir', '', '', '']","['', '', '', '', 'Unfortunately,asshownin #TAUTHOR_TAG,withtherepresetationofsentencesthatweuse,linearclassifierscannotdiscriminaterealsentencesfromsentencessampledfromatrigram,whichisthemodelweuseasabaseline,sohereweresorttoanon-linearlarge-marginclassifier(seesection3fordetails).', 'Whilelarge-marginclassifiersconsistentlyout-performotherlearningalgorithmsinmanyNLPtasks,theirnon-linearvariationsarealsonotoriouslyslowwhenitcomestocomputingtheirdecisionfunction-takingtimethatcanbelinearinthesizeoftheirtrainingdata.', '', '', '']",4
"['weused', '', 'Thiscodewasextensivelyoptimizedtotakeadvantageoftheverysparsesentencerepresentationdescribedabove.', 'Asshownin #TAUTHOR_TAG,usingthisrepresentation,alinearclassifiercannotdistinguishsentencessampledfromatrigramandrealsentences.', '', '']","['weused', '', 'Thiscodewasextensivelyoptimizedtotakeadvantageoftheverysparsesentencerepresentationdescribedabove.', 'Asshownin #TAUTHOR_TAG,usingthisrepresentation,alinearclassifiercannotdistinguishsentencessampledfromatrigramandrealsentences.', '', '']","['weused', '', 'Thiscodewasextensivelyoptimizedtotakeadvantageoftheverysparsesentencerepresentationdescribedabove.', 'Asshownin #TAUTHOR_TAG,usingthisrepresentation,alinearclassifiercannotdistinguishsentencessampledfromatrigramandrealsentences.', '', '']","['', '', 'Thiscodewasextensivelyoptimizedtotakeadvantageoftheverysparsesentencerepresentationdescribedabove.', 'Asshownin #TAUTHOR_TAG,usingthisrepresentation,alinearclassifiercannotdistinguishsentencessampledfromatrigramandrealsentences.', '', '']",4
"['Baselinelanguagemodel:ForP0weusedatrigramwithmodifiedkneser-neysmoothing[Chenand #TAUTHOR_TAG],whichisstillconsideredoneofthebestsmoothingmethodsforn-gramlanguagemodels.', '', '', '', '']","['Baselinelanguagemodel:ForP0weusedatrigramwithmodifiedkneser-neysmoothing[Chenand #TAUTHOR_TAG],whichisstillconsideredoneofthebestsmoothingmethodsforn-gramlanguagemodels.', '', '', '', '']","['Baselinelanguagemodel:ForP0weusedatrigramwithmodifiedkneser-neysmoothing[Chenand #TAUTHOR_TAG],whichisstillconsideredoneofthebestsmoothingmethodsforn-gramlanguagemodels.', '', '', '', '']","['Baselinelanguagemodel:ForP0weusedatrigramwithmodifiedkneser-neysmoothing[Chenand #TAUTHOR_TAG],whichisstillconsideredoneofthebestsmoothingmethodsforn-gramlanguagemodels.', '', '', '', '']",5
"['ThefeaturescanbeeasilyobtainedbymodifyingtheTATextractionalgorithmdescribedin #TAUTHOR_TAG.', 'word-aligned,source-parsedparallelsentence-trees', '', '']","['ThefeaturescanbeeasilyobtainedbymodifyingtheTATextractionalgorithmdescribedin #TAUTHOR_TAG.', 'word-aligned,source-parsedparallelsentence,sub-trees.', '', '']","['ThefeaturescanbeeasilyobtainedbymodifyingtheTATextractionalgorithmdescribedin #TAUTHOR_TAG.', 'aword-aligned,source-parsedparallelsentence,', '', '']","['ThefeaturescanbeeasilyobtainedbymodifyingtheTATextractionalgorithmdescribedin #TAUTHOR_TAG.', '', '', '']",2
"['', 'Weareinterestedinextendingtheseideastophrase-structureandlatticeparsing,andintryingotherhigher-orderfeatures,suchasthoseusedinparsereranking #TAUTHOR_TAGandhistory-basedparsing(NivreandMc #AUTHOR_TAG.', '']","['', 'Weareinterestedinextendingtheseideastophrase-structureandlatticeparsing,andintryingotherhigher-orderfeatures,suchasthoseusedinparsereranking #TAUTHOR_TAGandhistory-basedparsing(NivreandMc #AUTHOR_TAG.', '']","['', 'Weareinterestedinextendingtheseideastophrase-structureandlatticeparsing,andintryingotherhigher-orderfeatures,suchasthoseusedinparsereranking #TAUTHOR_TAGandhistory-basedparsing(NivreandMc #AUTHOR_TAG.', '']","['', 'Forprojectiveparsing,itissignificantlyfasterthanexactdynamicprogramming,atthecostofsmallamountsofsearcherror,Weareinterestedinextendingtheseideastophrase-structureandlatticeparsing,andintryingotherhigher-orderfeatures,suchasthoseusedinparsereranking #TAUTHOR_TAGandhistory-basedparsing(NivreandMc #AUTHOR_TAG.', '']",3
